fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
9;11;0.00064;0.0305;0.0;400.0;400.0;400.0;1.10224;0.0;1;-30.0;30.0
13;12;0.00069;0.03946;0.0;250.0;250.0;250.0;0.9999;0.0;1;-30.0;30.0
21;19;0.00088;0.05709;0.0;330.0;330.0;330.0;0.9999;0.0;1;-30.0;30.0
36;35;0.0007;0.03652;0.0;250.0;250.0;250.0;0.9999;0.0;1;-30.0;30.0
37;40;0.00036;0.02519;0.0;500.0;500.0;500.0;1.0686;0.0;1;-30.0;30.0
38;41;0.00036;0.02519;0.0;500.0;500.0;500.0;1.08671;0.0;1;-30.0;30.0
55;56;0.00034;0.02097;0.0;500.0;500.0;500.0;1.0755;0.0;1;-30.0;30.0
59;61;0.00034;0.02097;0.0;500.0;500.0;500.0;1.05955;0.0;1;-30.0;30.0
70;72;0.00081;0.03;0.0;400.0;400.0;400.0;1.0876;0.0;1;-30.0;30.0
107;109;0.00075;0.02445;-0.00832;330.0;330.0;330.0;1.06467;0.0;1;-30.0;30.0
108;110;0.0004;0.0253;0.0;500.0;500.0;500.0;1.07013;0.0;1;-30.0;30.0
144;147;0.00053;0.02875;-0.016;400.0;400.0;400.0;1.07702;0.0;1;-30.0;30.0
173;174;0.00064;0.0305;0.0;400.0;400.0;400.0;1.06172;0.0;1;-30.0;30.0
182;183;0.00023;0.023;0.0;500.0;500.0;500.0;1.07426;0.0;1;-30.0;30.0
181;184;0.00023;0.023;0.0;500.0;500.0;500.0;1.07426;0.0;1;-30.0;30.0
188;187;0.00032;0.04392;0.0;330.0;330.0;330.0;0.9999;0.0;1;-30.0;30.0
191;193;0.0003;0.02732;0.0;500.0;500.0;500.0;1.10871;0.0;1;-30.0;30.0
198;200;0.00035;0.02375;0.0;500.0;500.0;500.0;1.07313;0.0;1;-30.0;30.0
212;213;0.00051;0.0275;0.0;400.0;400.0;400.0;1.10394;0.0;1;-30.0;30.0
217;215;0.00084;0.06858;0.0;250.0;250.0;250.0;0.9999;0.0;1;-30.0;30.0
220;222;0.00033;0.02711;0.0;500.0;500.0;500.0;1.08613;0.0;1;-30.0;30.0
224;222;0.00032;0.0464;0.0;330.0;330.0;330.0;0.9999;0.0;1;-30.0;30.0
231;229;0.00113;0.05647;0.0;330.0;330.0;330.0;0.9999;0.0;1;-30.0;30.0
228;230;0.00075;0.02469;-0.008;330.0;330.0;330.0;1.04544;0.0;1;-30.0;30.0
3010;183;0.00029;0.00317;0.09184;773.0;773.0;773.0;1.0;0.0;1;-30.0;30.0
3010;184;0.0003;0.00326;0.09536;771.0;771.0;771.0;1.0;0.0;1;-30.0;30.0
244;84;0.01475;0.08595;0.13036;315.0;315.0;315.0;1.0;0.0;1;-30.0;30.0
3007;92;0.01244;0.06959;0.1181;309.0;309.0;309.0;1.0;0.0;1;-30.0;30.0
3007;122;0.01207;0.06905;0.11519;312.0;312.0;312.0;1.0;0.0;1;-30.0;30.0
146;3008;0.00168;0.01604;0.51488;724.0;724.0;724.0;1.0;0.0;1;-30.0;30.0
3011;172;0.0018;0.01616;0.0484;387.0;387.0;387.0;1.0;0.0;1;-30.0;30.0
3011;173;0.0018;0.01616;0.0484;387.0;387.0;387.0;1.0;0.0;1;-30.0;30.0
3012;63;0.00223;0.02209;0.69011;737.0;737.0;737.0;1.0;0.0;1;-30.0;30.0
3012;64;0.00223;0.02209;0.69011;737.0;737.0;737.0;1.0;0.0;1;-30.0;30.0
99;3006;0.00293;0.03054;0.95472;755.0;755.0;755.0;1.0;0.0;1;-30.0;30.0
58;30;0.01174;0.07014;0.12689;319.0;319.0;319.0;1.0;0.0;1;-30.0;30.0
37;107;0.00919;0.06614;0.10451;348.0;348.0;348.0;1.0;0.0;1;-30.0;30.0
38;108;0.00822;0.05767;0.0982;344.0;344.0;344.0;1.0;0.0;1;-30.0;30.0
169;42;0.01698;0.12459;0.1957;256.0;256.0;256.0;1.0;0.0;1;-30.0;30.0
155;48;0.01298;0.06738;0.10284;298.0;298.0;298.0;1.0;0.0;1;-30.0;30.0
154;27;0.01068;0.0475;0.09495;277.0;277.0;277.0;1.0;0.0;1;-30.0;30.0
191;28;0.01436;0.10729;0.16081;298.0;298.0;298.0;1.0;0.0;1;-30.0;30.0
55;126;0.01488;0.08161;0.1148;306.0;306.0;306.0;1.0;0.0;1;-30.0;30.0
54;108;0.01116;0.07171;0.10367;330.0;330.0;330.0;1.0;0.0;1;-30.0;30.0
207;100;0.00552;0.05948;0.17077;422.0;422.0;422.0;1.0;0.0;1;-30.0;30.0
238;192;0.01118;0.06597;0.10778;317.0;317.0;317.0;1.0;0.0;1;-30.0;30.0
226;191;0.01682;0.08909;0.12993;301.0;301.0;301.0;1.0;0.0;1;-30.0;30.0
225;192;0.01384;0.08702;0.13484;327.0;327.0;327.0;1.0;0.0;1;-30.0;30.0
242;195;0.01517;0.09938;0.14492;274.0;274.0;274.0;1.0;0.0;1;-30.0;30.0
59;16;0.01347;0.07316;0.13418;305.0;305.0;305.0;1.0;0.0;1;-30.0;30.0
233;25;0.01403;0.10413;0.15949;307.0;307.0;307.0;1.0;0.0;1;-30.0;30.0
117;70;0.00374;0.0438;0.10096;439.0;439.0;439.0;1.0;0.0;1;-30.0;30.0
190;99;0.00194;0.02007;0.54307;753.0;753.0;753.0;1.0;0.0;1;-30.0;30.0
60;12;0.0015;0.01506;0.4032;742.0;742.0;742.0;1.0;0.0;1;-30.0;30.0
214;174;0.00296;0.03484;0.9296;800.0;800.0;800.0;1.0;0.0;1;-30.0;30.0
138;72;0.00169;0.01931;0.53814;789.0;789.0;789.0;1.0;0.0;1;-30.0;30.0
41;110;0.00137;0.01569;0.43744;790.0;790.0;790.0;1.0;0.0;1;-30.0;30.0
40;141;0.00234;0.02677;0.74653;790.0;790.0;790.0;1.0;0.0;1;-30.0;30.0
34;222;0.00217;0.02513;0.67098;794.0;794.0;794.0;1.0;0.0;1;-30.0;30.0
138;80;0.00152;0.01739;0.48083;790.0;790.0;790.0;1.0;0.0;1;-30.0;30.0
140;80;0.00468;0.05347;1.48883;537.0;537.0;537.0;1.0;0.0;1;-30.0;30.0
99;44;0.00355;0.03617;0.95894;747.0;747.0;747.0;1.0;0.0;1;-30.0;30.0
109;40;0.00195;0.02103;0.5679;768.0;768.0;768.0;1.0;0.0;1;-30.0;30.0
63;139;0.00144;0.01446;0.51213;742.0;742.0;742.0;1.0;0.0;1;-30.0;30.0
14;6;0.013;0.09781;0.14013;326.0;326.0;326.0;1.0;0.0;1;-30.0;30.0
43;14;0.00525;0.03847;0.06053;351.0;351.0;351.0;1.0;0.0;1;-30.0;30.0
33;6;0.00457;0.03351;0.05245;352.0;352.0;352.0;1.0;0.0;1;-30.0;30.0
24;9;0.01469;0.10915;0.16676;293.0;293.0;293.0;1.0;0.0;1;-30.0;30.0
29;16;0.01262;0.09326;0.14324;342.0;342.0;342.0;1.0;0.0;1;-30.0;30.0
37;7;0.00924;0.05052;0.07698;306.0;306.0;306.0;1.0;0.0;1;-30.0;30.0
